,Kolejka,season,home,away,date,hour,gh,ga,IsCancelled,IsWalkover
121,25,1927,Polonia Warszawa,£ÅKS £ÅÛdü,8/21/1927,16:30,2,1,0,0
122,25,1927,Czarni LwÛw,Jutrzenka KrakÛw,8/21/1927,17:00,3,2,0,0
123,25,1927,Klub TurystÛw £ÅÛdü,TKS ToruÒ,8/21/1927,17:00,2,0,0,0
124,25,1927,PogoÒ LwÛw,Ruch ChorzÛw,8/21/1927,17:00,0,1,0,0
125,26,1927,Hasmonea LwÛw,£ÅKS £ÅÛdü,8/27/1927,16:30,3,0,0,0
126,26,1927,Ruch ChorzÛw,Wis≥a KrakÛw,8/28/1927,17:00,0,4,0,0
127,26,1927,Czarni LwÛw,£ÅKS £ÅÛdü,8/28/1927,16:30,0,4,0,0
128,26,1927,Warszawianka Warszawa,Jutrzenka KrakÛw,8/28/1927,15:00,8,2,0,0
129,26,1927,Legia Warszawa,TKS ToruÒ,8/28/1927,17:00,6,1,0,0
130,26,1927,Klub TurystÛw £ÅÛdü,1. FC Katowice,8/28/1927,16:30,2,0,0,0
131,27,1927,Polonia Warszawa,Warta PoznaÒ,9/4/1927,16:30,1,5,0,0
132,27,1927,TKS ToruÒ,Czarni LwÛw,9/4/1927,16:00,0,1,0,0
133,27,1927,Wis≥a KrakÛw,£ÅKS £ÅÛdü,9/4/1927,16:15,3,1,0,0
134,27,1927,PogoÒ LwÛw,Legia Warszawa,9/3/1927,16:00,11,2,0,0
135,27,1927,Klub TurystÛw £ÅÛdü,Hasmonea LwÛw,9/4/1927,16:30,6,2,0,0
136,27,1927,1. FC Katowice,Jutrzenka KrakÛw,9/4/1927,16:30,5,1,0,0
137,28,1927,Warta PoznaÒ,PogoÒ LwÛw,9/11/1927,16:00,2,1,0,0
138,28,1927,Warszawianka Warszawa,Polonia Warszawa,9/11/1927,16:15,3,3,0,0
139,28,1927,Wis≥a KrakÛw,TKS ToruÒ,9/11/1927,16:00,15,0,0,0
140,28,1927,Hasmonea LwÛw,Czarni LwÛw,9/11/1927,16:00,3,0,0,0
141,28,1927,£ÅKS £ÅÛdü,1. FC Katowice,9/11/1927,16:30,1,2,0,0
142,29,1927,Warta PoznaÒ,Hasmonea LwÛw,9/18/1927,15:30,3,4,0,0
143,29,1927,Ruch ChorzÛw,Jutrzenka KrakÛw,9/18/1927,15:30,1,3,0,0
144,29,1927,PogoÒ LwÛw,Polonia Warszawa,9/18/1927,15:30,3,1,0,0
145,29,1927,Legia Warszawa,£ÅKS £ÅÛdü,9/18/1927,16:00,6,3,0,0
146,29,1927,Wis≥a KrakÛw,Klub TurystÛw £ÅÛdü,9/18/1927,15:30,5,1,0,0
147,30,1927,Czarni LwÛw,Legia Warszawa,9/25/1927,14:00,2,1,0,0
148,30,1927,£ÅKS £ÅÛdü,PogoÒ LwÛw,9/25/1927,16:00,1,0,1,0
149,30,1927,Warta PoznaÒ,Klub TurystÛw £ÅÛdü,9/25/1927,14:30,2,4,1,0
150,30,1927,Jutrzenka KrakÛw,Hasmonea LwÛw,9/25/1927,15:00,2,2,0,0
151,30,1927,Polonia Warszawa,TKS ToruÒ,9/25/1927,16:00,2,5,0,0
152,30,1927,1. FC Katowice,Wis≥a KrakÛw,9/25/1927,15:30,0,2,0,0
153,30,1927,Warszawianka Warszawa,Ruch ChorzÛw,9/25/1927,14:00,0,1,0,0
154,31,1927,Hasmonea LwÛw,PogoÒ LwÛw,10/2/1927,15:30,2,2,0,0
155,31,1927,Legia Warszawa,1. FC Katowice,10/2/1927,15:00,5,0,0,0
156,31,1927,Klub TurystÛw £ÅÛdü,Jutrzenka KrakÛw,10/2/1927,15:26,4,2,0,0
157,31,1927,Warta PoznaÒ,TKS ToruÒ,10/2/1927,15:00,4,2,0,0
158,31,1927,Wis≥a KrakÛw,Polonia Warszawa,10/2/1927,15:00,7,1,0,0
159,32,1927,Warszawianka Warszawa,Hasmonea LwÛw,10/9/1927,15:00,5,1,0,0
160,32,1927,TKS ToruÒ,Jutrzenka KrakÛw,10/9/1927,15:00,4,3,0,0
161,32,1927,Czarni LwÛw,Warta PoznaÒ,10/9/1927,15:00,3,3,0,0
162,32,1927,£ÅKS £ÅÛdü,Ruch ChorzÛw,10/9/1927,15:00,6,2,0,0
163,32,1927,Wis≥a KrakÛw,PogoÒ LwÛw,10/9/1927,15:00,0,2,0,0
164,32,1927,1. FC Katowice,Polonia Warszawa,10/9/1927,15:00,4,3,0,0
165,33,1927,Klub TurystÛw £ÅÛdü,Polonia Warszawa,10/16/1927,15:00,1,0,0,0
166,33,1927,Hasmonea LwÛw,Wis≥a KrakÛw,10/16/1927,14:45,2,2,0,0
167,33,1927,Legia Warszawa,Ruch ChorzÛw,10/16/1927,15:00,1,1,0,0
168,33,1927,1. FC Katowice,Warta PoznaÒ,10/16/1927,15:00,1,5,0,0
169,33,1927,Jutrzenka KrakÛw,£ÅKS £ÅÛdü,10/16/1927,15:00,2,2,0,0
170,34,1927,PogoÒ LwÛw,1. FC Katowice,10/23/1927,17:00,0,3,0,1
171,34,1927,Polonia Warszawa,Hasmonea LwÛw,10/23/1927,15:00,9,2,0,0
172,34,1927,Ruch ChorzÛw,Czarni LwÛw,10/23/1927,15:00,2,1,0,0
173,34,1927,Klub TurystÛw £ÅÛdü,Warszawianka Warszawa,10/23/1927,14:30,3,7,0,0
174,35,1927,Czarni LwÛw,Klub TurystÛw £ÅÛdü,10/30/1927,14:15,3,0,0,0
175,35,1927,Warszawianka Warszawa,TKS ToruÒ,10/30/1927,14:00,0,2,0,0
176,35,1927,Warszawianka Warszawa,PogoÒ LwÛw,10/30/1927,14:00,3,0,0,1
177,36,1927,Legia Warszawa,Jutrzenka KrakÛw,11/1/1927,11:30,5,1,0,0
178,36,1927,Ruch ChorzÛw,Warta PoznaÒ,11/1/1927,14:30,0,5,0,0
179,36,1927,TKS ToruÒ,Hasmonea LwÛw,11/1/1927,14:30,0,2,0,0
180,37,1927,Ruch ChorzÛw,1. FC Katowice,11/6/1927,14:30,0,2,0,0
181,37,1927,Polonia Warszawa,Legia Warszawa,11/6/1927,14:00,2,1,0,0
182,37,1927,Czarni LwÛw,Warszawianka Warszawa,11/6/1927,11:00,1,0,0,0
183,37,1927,PogoÒ LwÛw,Klub TurystÛw £ÅÛdü,11/6/1927,17:00,0,3,0,1
184,38,1927,£ÅKS £ÅÛdü,PogoÒ LwÛw,11/13/1927,17:00,3,0,0,1
185,38,1927,Warta PoznaÒ,Klub TurystÛw £ÅÛdü,11/13/1927,17:00,3,0,0,1
186,1,1928,Ruch ChorzÛw,ålπsk åwiÍtoch≥owice,3/4/1928,15:00,1,0,0,0
187,2,1928,ålπsk åwiÍtoch≥owice,TKS ToruÒ,3/11/1928,17:00,4,3,1,0
188,3,1928,ålπsk åwiÍtoch≥owice,1. FC Katowice,3/18/1928,15:00,1,1,0,0
189,3,1928,Klub TurystÛw £ÅÛdü,£ÅKS £ÅÛdü,3/18/1928,15:00,0,1,0,0
190,3,1928,Polonia Warszawa,Warszawianka Warszawa,3/18/1928,15:30,1,1,0,0
191,3,1928,Wis≥a KrakÛw,Ruch ChorzÛw,3/18/1928,15:15,4,0,0,0
192,4,1928,TKS ToruÒ,Polonia Warszawa,3/25/1928,15:00,1,4,0,0
193,4,1928,Legia Warszawa,£ÅKS £ÅÛdü,3/25/1928,15:30,3,0,0,0
194,4,1928,Warta PoznaÒ,Warszawianka Warszawa,3/25/1928,15:30,2,1,0,0
195,4,1928,1. FC Katowice,Ruch ChorzÛw,3/25/1928,15:30,4,0,0,0
196,4,1928,Cracovia,Czarni LwÛw,3/25/1928,15:15,6,0,0,0
197,4,1928,PogoÒ LwÛw,Hasmonea LwÛw,3/25/1928,15:15,2,0,0,0
198,4,1928,Klub TurystÛw £ÅÛdü,Wis≥a KrakÛw,3/25/1928,15:30,0,3,0,0
199,5,1928,1. FC Katowice,Legia Warszawa,4/1/1928,15:30,4,1,0,0
200,5,1928,£ÅKS £ÅÛdü,Warszawianka Warszawa,4/1/1928,16:00,3,3,0,0
201,5,1928,Polonia Warszawa,Klub TurystÛw £ÅÛdü,4/1/1928,15:45,2,1,0,0
202,5,1928,TKS ToruÒ,Cracovia,4/1/1928,15:30,2,3,0,0
203,5,1928,PogoÒ LwÛw,ålπsk åwiÍtoch≥owice,4/1/1928,15:45,4,0,0,0
204,5,1928,Wis≥a KrakÛw,Czarni LwÛw,4/1/1928,16:00,3,0,0,0
205,6,1928,Klub TurystÛw £ÅÛdü,Ruch ChorzÛw,4/8/1928,16:00,0,0,0,0
206,6,1928,£ÅKS £ÅÛdü,Ruch ChorzÛw,4/9/1928,16:00,1,2,0,0
207,6,1928,ålπsk åwiÍtoch≥owice,Czarni LwÛw,4/9/1928,15:30,4,2,0,0
208,7,1928,Ruch ChorzÛw,Polonia Warszawa,4/15/1928,16:00,1,2,0,0
